date,category,region,sales,quantity,feedback_score
2026-01-01,Electronics,North,1200.50,3,4.5
2026-01-02,Clothing,East,450.00,5,4.0
2026-01-03,Home,West,850.75,2,3.8
2026-01-04,Books,South,120.00,4,4.8
2026-01-05,Electronics,East,2400.00,6,4.7
2026-01-06,Clothing,North,300.20,2,3.5
2026-01-07,Home,South,1100.90,3,4.2
2026-01-08,Books,West,95.50,3,4.6
2026-01-09,Electronics,West,1800.00,4,4.3
2026-01-10,Clothing,South,520.00,4,4.1
2026-01-11,Home,East,670.40,2,3.9
2026-01-12,Books,North,150.00,5,4.9
2026-01-13,Electronics,South,1350.00,3,4.4
2026-01-14,Clothing,West,280.50,3,3.7
2026-01-15,Home,North,980.00,2,4.0
2026-01-16,Books,East,85.00,2,4.2
2026-01-17,Electronics,North,2200.00,5,4.6
2026-01-18,Clothing,East,600.00,6,4.3
2026-01-19,Home,West,1250.00,3,4.5
2026-01-20,Books,South,210.00,7,4.7
2026-01-21,Electronics,East,1900.50,4,4.2
2026-01-22,Clothing,North,410.00,3,3.9
2026-01-23,Home,South,750.00,2,4.1
2026-01-24,Books,West,115.00,4,4.5
2026-01-25,Electronics,West,1550.00,3,4.0
2026-01-26,Clothing,South,480.00,4,4.2
2026-01-27,Home,East,890.00,2,3.8
2026-01-28,Books,North,175.00,5,4.8
2026-01-29,Electronics,South,2500.00,6,4.7
2026-01-30,Clothing,West,310.00,2,3.6
2026-02-01,Home,North,1050.00,3,4.3
2026-02-02,Books,East,99.90,3,4.4
2026-02-03,Electronics,North,1300.00,3,4.2
2026-02-04,Clothing,East,500.00,5,4.1
2026-02-05,Home,West,900.00,2,3.9
2026-02-06,Books,South,140.00,4,4.6
2026-02-07,Electronics,East,2100.00,5,4.5
2026-02-08,Clothing,North,350.00,3,3.8
2026-02-09,Home,South,1200.00,3,4.3
2026-02-10,Books,West,88.00,2,4.1
2026-02-11,Electronics,West,1650.00,4,4.4
2026-02-12,Clothing,South,580.00,5,4.2
2026-02-13,Home,East,710.00,2,4.0
2026-02-14,Books,North,135.00,4,4.7
2026-02-15,Electronics,South,1450.00,3,4.5
2026-02-16,Clothing,West,290.00,2,3.6
2026-02-17,Home,North,950.00,2,4.1
2026-02-18,Books,East,75.00,1,4.0
2026-02-19,Electronics,North,2350.00,5,4.7
2026-02-20,Clothing,East,640.00,6,4.4
2026-02-21,Home,West,1300.00,3,4.6
2026-02-22,Books,South,190.00,6,4.8
2026-02-23,Electronics,East,1750.00,4,4.1
2026-02-24,Clothing,North,430.00,3,3.9
2026-02-25,Home,South,800.00,2,4.2
2026-02-26,Books,West,125.00,4,4.6
2026-02-27,Electronics,West,1450.00,3,3.9
2026-02-28,Clothing,South,490.00,4,4.3
2026-03-01,Home,East,920.00,2,4.0
2026-03-02,Books,North,165.00,5,4.9
2026-03-03,Electronics,South,2600.00,6,4.8
2026-03-04,Clothing,West,330.00,2,3.7
2026-03-05,Home,North,1150.00,3,4.4
2026-03-06,Books,East,110.00,3,4.5
2026-03-07,Electronics,North,1400.00,3,4.3
2026-03-08,Clothing,East,550.00,5,4.2
2026-03-09,Home,West,950.00,2,4.0
2026-03-10,Books,South,160.00,4,4.7
2026-03-11,Electronics,East,2250.00,5,4.6
2026-03-12,Clothing,North,380.00,3,3.9
2026-03-13,Home,South,1250.00,3,4.4
2026-03-14,Books,West,95.00,2,4.2
2026-03-15,Electronics,West,1750.00,4,4.5
2026-03-16,Clothing,South,620.00,5,4.3
2026-03-17,Home,East,780.00,2,4.1
2026-03-18,Books,North,145.00,4,4.8
2026-03-19,Electronics,South,1550.00,3,4.6
2026-03-20,Clothing,West,310.00,2,3.8
2026-03-21,Home,North,990.00,2,4.2
2026-03-22,Books,East,80.00,1,4.1
2026-03-23,Electronics,North,2450.00,5,4.8
2026-03-24,Clothing,East,680.00,6,4.5
2026-03-25,Home,West,1400.00,3,4.7
2026-03-26,Books,South,220.00,7,4.9
2026-03-27,Electronics,East,1850.00,4,4.2
2026-03-28,Clothing,North,460.00,3,4.0
2026-03-29,Home,South,850.00,2,4.3
2026-03-30,Books,West,135.00,4,4.7
2026-03-31,Electronics,West,1500.00,3,4.0
